result, time
18,30010.0
2147483647,30001.0
12,30011.0
21,30011.0
24,30003.0
11,30007.0
18,30010.0
23,30010.0
18,30008.0
21,30010.0
24,30011.0
15,30010.0
14,30005.0
19,30002.0
19,30011.0
21,30010.0
8,30009.0
11,30010.0
18,30010.0
15,30000.0
26,30010.0
10,30010.0
25,30004.0
20,30011.0
9,30003.0
10,30010.0
12,30005.0
11,30008.0
12,30008.0
2147483647,30010.0
23,30010.0
21,30011.0
15,30010.0
29,30010.0
18,30010.0
14,30010.0
26,30011.0
22,30010.0
10,30010.0
25,30011.0
16,30010.0
22,30010.0
22,30010.0
18,30011.0
9,30011.0
12,30005.0
17,30010.0
12,30011.0
15,30010.0
24,30010.0
12,30011.0
21,30010.0
20,30011.0
14,30010.0
14,29984.0
26,30005.0
14,30009.0
18,30009.0
25,30010.0
11,30010.0
18,30010.0
16,30010.0
11,30010.0
2147483647,30010.0
20,30010.0
8,30010.0
27,30011.0
13,30010.0
19,30010.0
17,30010.0
20,30010.0
8,30011.0
16,30010.0
20,30010.0
12,30010.0
8,30011.0
13,30010.0
16,30010.0
11,30010.0
12,30010.0
18,30008.0
11,30011.0
19,30010.0
2147483647,30010.0
20,30011.0
9,30010.0
4,30010.0
13,30010.0
18,30010.0
13,30012.0
13,30010.0
17,30010.0
11,30010.0
9,30010.0
11,30010.0
9,30005.0
22,30010.0
15,30010.0
22,30010.0
17,30010.0
