result, time
74,28671.0
83,28670.0
75,28671.0
100,28673.0
119,28355.0
111,28671.0
96,28190.0
118,28671.0
115,28677.0
149,28671.0
99,28677.0
105,28676.0
72,28681.0
82,28674.0
90,28675.0
106,28674.0
116,28671.0
120,28483.0
112,28682.0
93,28671.0
91,28679.0
95,28678.0
96,28674.0
90,28677.0
74,28660.0
77,28661.0
67,28672.0
116,28670.0
76,28673.0
73,28674.0
78,28677.0
101,28588.0
104,28681.0
94,28677.0
120,28689.0
116,28677.0
107,28675.0
104,28675.0
120,28678.0
96,28672.0
75,28673.0
79,28695.0
115,28681.0
111,28675.0
96,28674.0
106,28680.0
87,28682.0
106,28670.0
78,28671.0
72,28675.0
78,28674.0
81,28676.0
125,28680.0
76,28677.0
88,28676.0
100,28677.0
79,28675.0
91,28676.0
81,28680.0
94,28675.0
71,28674.0
73,28674.0
98,28673.0
84,28675.0
76,28677.0
132,28675.0
98,28672.0
86,28673.0
84,28671.0
104,28674.0
112,28592.0
96,28671.0
103,28669.0
95,28660.0
101,28672.0
85,28671.0
87,28670.0
120,28682.0
88,28677.0
108,28672.0
98,28671.0
90,28678.0
85,28683.0
84,28681.0
90,28671.0
87,28680.0
104,28488.0
85,28673.0
80,28675.0
100,28496.0
111,28483.0
92,28684.0
79,28671.0
93,28671.0
85,28672.0
101,28672.0
138,28672.0
85,28193.0
102,28686.0
121,28679.0
