result, time
826,28890.0
823,28890.0
941,28889.0
809,28890.0
837,28890.0
911,28777.0
831,28777.0
839,28889.0
875,28889.0
778,28776.0
972,28776.0
777,28890.0
953,28889.0
774,28776.0
894,28777.0
777,28776.0
954,28890.0
903,28776.0
945,28890.0
796,28889.0
903,28889.0
1014,28778.0
889,28891.0
734,28889.0
859,28890.0
904,28890.0
891,28777.0
870,28889.0
948,28777.0
970,28890.0
789,28890.0
761,28893.0
963,28905.0
904,28891.0
820,28890.0
898,28891.0
893,28890.0
828,28890.0
807,28891.0
905,28890.0
851,28549.0
985,28890.0
653,28890.0
832,28890.0
765,28890.0
982,28890.0
848,28890.0
803,28890.0
814,28890.0
898,28890.0
811,28891.0
739,28778.0
818,28778.0
877,28778.0
835,28891.0
821,28777.0
837,28890.0
891,28890.0
722,28891.0
768,28776.0
833,28891.0
878,28890.0
884,28891.0
778,28891.0
808,28890.0
914,28890.0
759,28778.0
873,28889.0
792,28889.0
734,28889.0
783,28889.0
836,28889.0
802,28889.0
767,28889.0
822,28889.0
895,28889.0
813,28889.0
1024,28776.0
906,28778.0
847,28889.0
853,28888.0
860,28889.0
915,28889.0
809,28892.0
860,28779.0
786,28890.0
784,28889.0
773,28889.0
815,28889.0
782,28890.0
769,28889.0
874,28776.0
870,28776.0
755,28890.0
866,28889.0
806,28889.0
909,28889.0
853,28776.0
1030,28777.0
868,28889.0
