result, time
4412,28085.0
4317,28731.0
5109,28717.0
4560,28714.0
4395,28084.0
4456,28313.0
4443,28714.0
4720,28487.0
4229,28713.0
4682,28085.0
4258,28315.0
4595,28713.0
4468,28315.0
3821,28315.0
4205,28714.0
4393,28713.0
4415,28713.0
4710,28315.0
4635,28713.0
4645,28714.0
4659,28486.0
4065,28488.0
4516,28712.0
4402,28489.0
4696,28713.0
4252,28487.0
4826,28713.0
4514,28314.0
4278,28714.0
3966,28714.0
4877,27779.0
4581,28314.0
4200,28486.0
4701,28315.0
4733,28315.0
4834,28615.0
3890,28713.0
4500,28315.0
4198,28616.0
4450,28487.0
4608,28714.0
4675,28616.0
4693,28713.0
4675,28714.0
4227,28714.0
4657,28713.0
4364,28487.0
4553,28713.0
4074,28488.0
4376,28314.0
4749,28616.0
4634,28315.0
4212,28315.0
4534,28304.0
4370,28699.0
4329,28712.0
4685,28712.0
4412,27778.0
4231,28314.0
4206,28314.0
4285,28486.0
4133,28713.0
4230,28713.0
4191,28615.0
4780,28712.0
4889,28713.0
4187,28616.0
4721,28487.0
4626,28488.0
4651,28616.0
4451,28486.0
4401,27778.0
4132,28314.0
4561,27778.0
3929,28713.0
4638,28084.0
4538,28315.0
4099,28315.0
4281,27777.0
3951,28712.0
4276,28616.0
4461,28714.0
4788,28314.0
4306,28615.0
4297,28714.0
4132,28713.0
4251,28617.0
4182,27371.0
4678,28487.0
4324,28713.0
4469,28713.0
4306,28713.0
4626,28713.0
4196,28712.0
4363,28713.0
4441,28714.0
4181,28616.0
4236,28713.0
4240,28615.0
4832,27371.0
