result, time
36786,28451.0
37407,28572.0
36371,28258.0
35089,28629.0
35046,28629.0
40552,28633.0
37162,28628.0
35887,28629.0
37336,28486.0
34196,28634.0
36839,28630.0
37381,28633.0
36268,28634.0
33924,28635.0
37118,28634.0
37213,28632.0
37047,28628.0
38360,28633.0
36600,28630.0
36669,28627.0
35865,28630.0
36603,28631.0
35383,28628.0
37005,28633.0
35142,28628.0
37820,28633.0
36560,28389.0
36619,28631.0
37560,28636.0
36810,28630.0
36464,28631.0
37319,28636.0
38373,28630.0
35175,28585.0
38407,28538.0
38149,28629.0
38101,28003.0
36154,28629.0
38098,28632.0
33872,28635.0
35768,28634.0
37879,28628.0
36494,28630.0
35163,28370.0
35587,28632.0
33900,28633.0
37014,28007.0
39065,28632.0
37385,28230.0
35511,28294.0
33835,28296.0
37663,28630.0
37860,28628.0
36540,28036.0
36703,28632.0
35546,28445.0
37159,28488.0
35062,28631.0
36879,28633.0
37664,28627.0
36270,28631.0
37197,28631.0
35657,28377.0
35099,28634.0
38352,28581.0
37894,28634.0
34452,28630.0
36460,28631.0
39794,27267.0
36822,28631.0
38174,28631.0
36253,28628.0
36513,28629.0
35325,28634.0
34715,28628.0
34611,28633.0
35679,28630.0
36787,28631.0
35194,28630.0
36845,28627.0
36301,28629.0
40847,28625.0
36626,28628.0
35650,28630.0
36525,28629.0
33989,28630.0
35572,28628.0
37148,28382.0
37184,28631.0
39418,28631.0
34378,28629.0
38440,28630.0
35605,28629.0
34832,28629.0
37773,28587.0
36669,28494.0
36970,28145.0
34720,28541.0
36292,28625.0
35375,28319.0
result, time
37362,28494.0
37460,28633.0
35669,28633.0
35231,28650.0
34945,28636.0
35061,28636.0
35222,28632.0
37454,28634.0
36778,28633.0
33397,28633.0
36314,28249.0
35579,28630.0
36896,28248.0
36685,28635.0
36952,28630.0
35703,28629.0
36726,28634.0
38429,28639.0
37389,28634.0
34308,28640.0
33909,28634.0
35681,28634.0
36239,28219.0
37260,28629.0
37376,28632.0
35474,28632.0
34247,28637.0
35752,28631.0
34878,28632.0
37371,27424.0
35796,28635.0
36852,28630.0
37428,28632.0
35202,28632.0
35478,28368.0
37633,28176.0
36726,28627.0
34721,28632.0
36176,28633.0
34526,28631.0
33785,28634.0
36086,28635.0
35868,28427.0
37722,28632.0
36552,28629.0
32965,28630.0
35698,28630.0
37789,28636.0
36732,28631.0
36655,28632.0
32003,28631.0
36757,28632.0
37979,28632.0
38173,28629.0
35402,28634.0
36421,28540.0
37749,28630.0
35112,28635.0
36373,28634.0
36465,28632.0
37769,28489.0
32512,28634.0
33823,28633.0
34590,28629.0
37139,28632.0
35798,28630.0
34176,28321.0
35940,28627.0
36857,28383.0
34666,28632.0
36956,27432.0
35831,28640.0
35630,28633.0
35766,28631.0
34586,28630.0
33555,28628.0
35150,28631.0
36202,28633.0
35098,28630.0
37542,28433.0
37439,27963.0
36542,28633.0
37729,28632.0
35383,28634.0
35939,28630.0
35612,28627.0
36429,28630.0
37971,28631.0
36490,28633.0
39066,28633.0
34475,28629.0
38511,28635.0
35600,28630.0
34860,28634.0
38425,28634.0
37214,28254.0
37278,28630.0
34498,28632.0
36373,28633.0
36145,28632.0
