result, time
404671,28144.0
408722,28717.0
407298,28768.0
402658,28710.0
412869,24597.0
416906,28736.0
413882,27725.0
426820,28581.0
412958,28721.0
418832,28779.0
425394,28773.0
414920,28768.0
415192,28781.0
407310,28605.0
404574,28364.0
416602,28374.0
408668,28769.0
408339,28769.0
412349,28731.0
396021,28143.0
405817,28722.0
427035,28776.0
409703,28011.0
395483,28776.0
432441,28576.0
414437,28770.0
423853,26461.0
412139,28564.0
415072,28721.0
410239,28748.0
401966,28733.0
407045,28763.0
423488,28088.0
404838,28673.0
403855,28733.0
426971,28754.0
411618,28509.0
399060,28746.0
409627,27890.0
408806,28153.0
395361,28739.0
416451,28548.0
403225,28368.0
411980,28530.0
418134,28766.0
405368,28499.0
415682,27587.0
409678,27983.0
387632,28392.0
403362,28771.0
414593,28777.0
408211,28562.0
422079,28261.0
403985,28114.0
415533,28721.0
414033,27695.0
415551,28193.0
396311,28774.0
405761,28233.0
414833,28231.0
407688,28296.0
401604,28724.0
413781,28371.0
418708,28803.0
408723,27801.0
402722,28773.0
406590,28681.0
417204,28730.0
406665,28163.0
412696,28780.0
420911,28640.0
430573,26853.0
415449,28619.0
402128,28761.0
417646,28733.0
411742,28615.0
405001,27140.0
411538,27348.0
410473,28417.0
399223,28143.0
406200,28361.0
399337,28789.0
430680,28772.0
414466,28548.0
411469,28771.0
412649,26439.0
411552,28500.0
406944,28129.0
410221,28096.0
405429,28781.0
401409,28772.0
423385,28603.0
411592,28731.0
419909,28693.0
403538,27771.0
419366,28460.0
413549,28549.0
408240,28128.0
403329,27715.0
416099,28766.0
