result, time
3,18.0
4,15.0
3,11.0
7,26.0
3,13.0
2,13.0
3,13.0
4,21.0
5,21.0
3,16.0
2,13.0
2,15.0
2,12.0
2,19.0
0,3.0
2,16.0
1,14.0
1,15.0
3,15.0
1,12.0
2,15.0
3,16.0
1,10.0
2,14.0
1,8.0
2,10.0
6,22.0
4,22.0
1,11.0
4,19.0
2,15.0
3,22.0
1,8.0
1,12.0
2,14.0
1,8.0
3,15.0
6,29.0
2,9.0
1,11.0
2,14.0
2,12.0
2,14.0
5,24.0
1,13.0
1,10.0
0,6.0
0,3.0
5,23.0
3,18.0
4,17.0
1,8.0
3,15.0
2,18.0
1,14.0
1,10.0
3,19.0
5,20.0
4,16.0
1,12.0
1,13.0
1,8.0
4,25.0
1,13.0
1,12.0
3,15.0
3,16.0
2,20.0
2,10.0
3,16.0
1,10.0
3,19.0
3,24.0
1,10.0
4,19.0
3,21.0
3,20.0
1,12.0
1,12.0
1,11.0
1,10.0
5,18.0
6,25.0
6,23.0
2,15.0
4,20.0
2,14.0
2,17.0
2,18.0
1,11.0
1,8.0
5,26.0
5,23.0
5,20.0
2,19.0
3,19.0
5,26.0
4,15.0
2,18.0
3,21.0
