result, time
18,30010.0
2147483647,30010.0
12,30010.0
21,30010.0
24,30007.0
11,30010.0
18,30010.0
23,30002.0
18,30023.0
21,30026.0
24,30012.0
15,30004.0
14,30002.0
19,30010.0
19,30010.0
21,30005.0
8,30011.0
11,30010.0
18,30010.0
15,30010.0
26,30010.0
10,30011.0
25,30007.0
20,30010.0
9,30011.0
10,30010.0
12,30011.0
11,30011.0
12,30010.0
2147483647,30010.0
23,30010.0
21,30010.0
15,30010.0
29,30011.0
18,30010.0
14,30010.0
26,30007.0
22,30010.0
10,30008.0
25,30010.0
16,30011.0
22,30009.0
22,30005.0
18,30010.0
9,30011.0
12,30001.0
17,30011.0
12,30010.0
15,30004.0
24,30010.0
12,30010.0
21,30011.0
20,30010.0
14,30003.0
14,30010.0
26,30010.0
14,30010.0
18,30003.0
25,30010.0
11,29985.0
18,30005.0
16,30009.0
11,30003.0
2147483647,30007.0
20,30010.0
8,30010.0
27,30007.0
13,30008.0
19,30010.0
17,30010.0
20,30010.0
8,30010.0
16,30006.0
20,30001.0
12,30004.0
8,30010.0
13,30010.0
16,30010.0
11,30004.0
12,30010.0
18,30010.0
11,30010.0
19,30004.0
2147483647,30010.0
20,30007.0
9,30010.0
4,30010.0
13,30010.0
18,30005.0
13,30010.0
13,30004.0
17,30010.0
11,30010.0
9,30006.0
14,30010.0
9,30010.0
22,30010.0
15,30010.0
22,30009.0
17,30010.0
