result, time
4802,27888.0
4194,28791.0
4344,28792.0
4460,28675.0
4318,28786.0
4353,28785.0
4226,28783.0
4661,28802.0
4239,28527.0
4516,28792.0
4623,28796.0
4447,28505.0
4745,28783.0
2147483647,27881.0
4055,28787.0
4554,28783.0
4195,28682.0
4890,28671.0
4592,28506.0
4141,28787.0
4241,28784.0
4474,28791.0
4828,28684.0
4693,28679.0
4456,28517.0
4550,28510.0
4606,28807.0
4843,28510.0
4721,28792.0
4327,28780.0
4364,28511.0
4383,28677.0
4190,28673.0
4380,28791.0
4526,28785.0
4414,28786.0
4786,28530.0
4517,28517.0
4345,28789.0
4394,28782.0
4584,28782.0
4763,28264.0
4411,28785.0
4289,28790.0
4624,28787.0
4655,28783.0
4162,28796.0
4201,28795.0
4807,28683.0
4536,28280.0
4602,28799.0
4239,28781.0
4574,28708.0
4847,28511.0
4658,28784.0
4534,28791.0
4239,28796.0
4663,28516.0
4094,28502.0
4861,28675.0
4427,28709.0
4532,28785.0
4748,28686.0
4527,28798.0
4838,28516.0
4232,28809.0
5070,28509.0
4181,28685.0
4713,28504.0
4648,28686.0
4611,28780.0
4636,28808.0
5020,27871.0
4799,28798.0
4667,28527.0
4159,28523.0
4329,28803.0
4379,28668.0
4797,28789.0
4692,28790.0
4458,28685.0
4538,28801.0
4782,28794.0
4381,28800.0
4080,28781.0
4224,28532.0
4288,28699.0
4015,28796.0
2147483647,27306.0
3981,28790.0
4152,28787.0
4200,28675.0
4610,27874.0
4554,27883.0
3787,28511.0
4810,28781.0
4336,28783.0
4423,28786.0
4364,28799.0
4860,28255.0
result, time
5124,28669.0
4614,28519.0
4586,28782.0
4424,28793.0
4592,28505.0
4266,28806.0
4605,28511.0
5164,28701.0
4389,28799.0
4508,28520.0
4825,28790.0
4852,27873.0
4633,28793.0
4668,28515.0
4802,28263.0
4607,28783.0
4360,28693.0
4515,28520.0
4680,28784.0
4465,28688.0
4685,28790.0
4613,28790.0
4783,28781.0
4660,28792.0
4599,28806.0
4782,28785.0
5100,28786.0
5213,28515.0
4840,28697.0
4698,28669.0
4421,28786.0
4893,28669.0
4655,28805.0
4520,28793.0
4634,28804.0
5019,28791.0
4439,28519.0
4616,28792.0
4377,28784.0
4724,28697.0
4899,28789.0
4969,27890.0
4435,28784.0
4670,28511.0
4356,28697.0
4719,28785.0
4462,28786.0
4900,28796.0
5225,28252.0
4939,28259.0
4801,28804.0
5301,28806.0
2147483647,28744.0
5107,28794.0
4885,28795.0
4919,28788.0
4785,28799.0
4707,28799.0
4151,28786.0
4643,28783.0
4357,28792.0
4563,28793.0
4966,28273.0
4476,28803.0
4582,28508.0
4846,28811.0
4864,28514.0
4961,28797.0
5317,28792.0
5046,28515.0
4197,28785.0
4685,28789.0
4817,28518.0
4654,28788.0
4922,28790.0
4216,28673.0
4184,28784.0
4796,28800.0
4740,28808.0
5217,28784.0
4431,28673.0
4327,28784.0
4925,28514.0
4499,28797.0
5181,28813.0
4239,28686.0
4304,28505.0
4574,28781.0
5040,28791.0
4646,28804.0
4454,28785.0
4622,28516.0
5302,28514.0
5783,27876.0
4746,28783.0
4932,28790.0
4831,28672.0
5082,28508.0
4625,28780.0
5087,28695.0
