result, time
72372,28597.0
72711,28511.0
74280,28631.0
74778,28249.0
72592,28632.0
73698,28632.0
72068,28628.0
70026,28243.0
76096,28631.0
74421,28249.0
75281,28630.0
74038,28633.0
75631,28128.0
71853,28631.0
72706,28490.0
72549,27858.0
71344,28639.0
71697,28626.0
71986,27485.0
72574,28635.0
73225,28631.0
76029,28628.0
71305,27851.0
67600,28631.0
73612,28132.0
74294,28634.0
73508,28237.0
74572,28631.0
73688,28501.0
71702,28429.0
73734,27029.0
66402,28630.0
69592,28630.0
73239,28628.0
76001,28636.0
73881,28632.0
73332,28502.0
72976,28429.0
72091,28342.0
78202,27268.0
75694,27996.0
72285,28633.0
74549,28335.0
73997,28633.0
73184,28133.0
70780,28623.0
74486,28632.0
72249,28006.0
75001,28345.0
76429,28248.0
73469,28431.0
77312,28515.0
76108,28337.0
73897,28126.0
72100,28238.0
75584,27999.0
72053,28121.0
78521,28634.0
75704,28350.0
72613,28132.0
74054,28247.0
73493,28572.0
71550,28131.0
78622,28628.0
74083,27997.0
74621,28635.0
76109,28632.0
75573,28635.0
74196,28624.0
76909,28629.0
74478,28510.0
70237,28134.0
78205,28627.0
76531,28354.0
73104,28124.0
73341,28630.0
74479,28350.0
74515,27705.0
76313,28334.0
75499,28326.0
75407,28628.0
73149,28628.0
75769,28628.0
72491,28634.0
74693,28631.0
72685,28007.0
73471,28630.0
76287,28632.0
73872,28432.0
72874,28495.0
73005,28637.0
73449,27999.0
73740,28633.0
75654,28629.0
73212,28001.0
74027,28632.0
73098,28617.0
73175,28126.0
72445,28629.0
72542,28633.0
