result, time
3,15.0
4,13.0
3,9.0
7,19.0
3,11.0
2,13.0
3,11.0
4,18.0
5,18.0
3,14.0
2,11.0
2,13.0
2,11.0
2,13.0
0,2.0
2,13.0
1,8.0
1,12.0
3,12.0
1,9.0
2,11.0
3,13.0
1,9.0
2,12.0
1,8.0
2,10.0
6,19.0
4,18.0
1,8.0
4,16.0
2,12.0
3,16.0
1,5.0
1,9.0
2,13.0
1,6.0
3,11.0
6,24.0
2,8.0
1,10.0
2,12.0
2,9.0
2,12.0
5,19.0
1,10.0
1,8.0
0,4.0
0,2.0
5,15.0
3,16.0
4,15.0
1,7.0
3,12.0
2,14.0
1,12.0
1,8.0
3,17.0
5,17.0
4,12.0
1,8.0
1,10.0
1,7.0
4,21.0
1,9.0
1,10.0
3,12.0
3,14.0
2,15.0
2,9.0
3,14.0
1,8.0
3,14.0
3,18.0
1,8.0
4,14.0
3,17.0
3,15.0
1,10.0
1,9.0
1,9.0
1,9.0
5,16.0
6,24.0
6,18.0
2,14.0
4,16.0
2,12.0
2,14.0
2,14.0
1,9.0
1,7.0
5,21.0
5,18.0
5,17.0
2,16.0
3,14.0
5,20.0
4,14.0
2,14.0
3,15.0
