result, time
2,28889.0
1,28243.0
0,5316.0
1,27857.0
2,28889.0
2,28776.0
1,28249.0
0,14510.0
0,4262.0
0,5862.0
1,28625.0
3,28889.0
2,28889.0
1,28686.0
2,28776.0
2,28695.0
2,28889.0
2,28813.0
1,27427.0
3,28889.0
3,28889.0
2,28889.0
0,8600.0
1,28889.0
2,28889.0
0,10127.0
1,28889.0
1,28578.0
2,28889.0
1,28776.0
0,9646.0
0,5293.0
1,28098.0
2,27523.0
3,28712.0
1,28498.0
2,28806.0
2,28889.0
2,28104.0
1,28365.0
4,28889.0
2,28557.0
0,5700.0
0,5280.0
2,28775.0
0,5265.0
1,28817.0
1,28889.0
5,28492.0
1,28714.0
0,19757.0
2,28779.0
3,28888.0
2,28775.0
1,28096.0
0,221.0
0,9498.0
1,28260.0
1,27195.0
1,28551.0
2,28097.0
1,28889.0
0,10513.0
3,28889.0
0,25137.0
3,28775.0
1,28889.0
1,28582.0
1,28776.0
2,28549.0
2,28765.0
2,28888.0
3,27566.0
2,28549.0
2,28549.0
1,28889.0
1,27191.0
4,28889.0
1,28549.0
2,28889.0
1,28776.0
1,28888.0
2,28889.0
3,28809.0
1,28776.0
1,28889.0
2,28593.0
2,28560.0
1,28889.0
1,28889.0
1,28623.0
0,5230.0
1,28889.0
1,28569.0
1,28888.0
3,28391.0
1,28781.0
1,28684.0
1,28372.0
1,28359.0
